"Country","ParticipantName","Address","City","BIC","Readiness Date","Scheme Leaving Date","Scheme Options"
"AUSTRIA","Raiffeisen Regionalbank Achensee eGen","Nr. 86 a","Maurach","RZTIAT22218","2017-11-21","",""
"AUSTRIA","Raiffeisen Regionalbank Fuegen-Kaltenbach-Zell eGen","Lindenweg 450","Fuegen","RZTIAT22229","2017-11-21","",""
"AUSTRIA","RAIFFEISEN REGIONALBANK GAENSERNDORF eGen","8, BAHNSTRASSE","GAENSERNDORF","RLNWATWWGAE","2017-11-21","",""
"AUSTRIA","Raiffeisen Regionalbank Guessing-Jennersdorf eGen","Hauptstrasse 3","Guessing","RLBBAT2E027","2017-11-21","",""
"AUSTRIA","Raiffeisen Regionalbank Hall in Tirol reg.Gen.m.b.H.","Zollstrasse 1","Hall i.T.","RZTIAT22362","2017-11-21","",""
"AUSTRIA","Raiffeisen Regionalbank Matrei i.O. eGen","Rauterplatz 4","Matrei i. Osttirol","RZTIAT22378","2017-11-21","",""
"AUSTRIA","RAIFFEISEN REGIONALBANK MOEDLING eGen","Hauptstrasse 27-29","Moedling","RLNWATWWGTD","2017-11-21","",""
"AUSTRIA","RAIFFEISEN REGIONALBANK WR. NEUSTADT - SCHNEEBERGERGERLAND eGen","28, HAUPTPLATZ","WIENER NEUSTADT","RLNWATWWWRN","2017-11-21","",""
"AUSTRIA","Raiffeisen-Bezirksbank Spittal/Drau reg.Gen.m.b.H.","Burgplatz 2","Spittal/Drau","RZKTAT2K267","2017-11-21","",""
"AUSTRIA","Raiffeisen-Bezirksbank St.Veit a.d.Glan-Feldkirchen reg.Gen.m.b.H.","Oktoberplatz 1","St.Veit/Glan","RZKTAT2K476","2017-11-21","",""
"AUSTRIA","Raiffeisen-Landesbank Steiermark AG","Kaiserfeldgasse 5","Graz","RZSTAT2GXXX","2017-11-21","",""
"AUSTRIA","Raiffeisen-Landesbank Tirol AG","Adamgasse 1-7","Innsbruck","RZTIAT22XXX","2017-11-21","",""
"AUSTRIA","Raiffeisen-Regionalbank Schwaz eGen","Innsbrucker Strasse 11","Schwaz","RZTIAT22322","2017-11-21","",""
"AUSTRIA","Raiffeisenbank  Schilcherland eGen","Raiffeisenstrasse 1","Deutschlandsberg","RZSTAT2G043","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Absam-Thaur eGen","Salzbergstrasse 64","Absam","RZTIAT22200","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Abtenau - Russbach reg. Gen.m.b.H.","Markt 49","Abtenau","RVSAAT2S001","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Admont eGen","Hauptstrasse 33","Admont","RZSTAT2G001","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Aichfeld eGen","Kaerntner Strasse 2","Knittelfeld","RZSTAT2G346","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Alberschwende eGen","Hof 18","Alberschwende","RVVGAT2B401","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Alpbachtal eGen","Nr. 177","Alpbach","RZTIAT22203","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Altenmarkt - Flachau - Eben eGen","Marktplatz 5","Altenmarkt","RVSAAT2S004","2017-11-21","",""
"AUSTRIA","Raiffeisenbank am Hofsteig eGen","Kellhofstr. 12","Wolfurt","RVVGAT2B482","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Anif - Niederalm eGen","Aniferstrasse 12","Anif","RVSAAT2S005","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Annaberg-Lungoetz eGen","Annaberg 125","Annaberg","RVSAAT2S006","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Anthering-Elixhausen eGen","Salzburger Strasse 6","Anthering","RVSAAT2S007","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Arnoldstein-Fürnitz eG","Gemeindeplatz 2","Arnoldstein","RZKTAT2K257","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Arzl im Pitztal und Imsterberg reg.Gen.m.b.H.","Hauptstrasse 76","Arzl im Pitztal","RZTIAT22207","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Aspach-Wildenau eGen","Marktplatz 3","Aspach i. I.","RZOOAT2L016","2017-11-21","",""
"AUSTRIA","RAIFFEISENBANK ATTERGAU EGEN","Attergaustrasse 38 a","St. Georgen im Attergau","RZOOAT2L523","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Attersee-Nord eGen","Raiffeisenplatz 1","Seewalchen","RZOOAT2L608","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Attersee-Sued eGen","Dorfstrasse 50","Nussdorf/A.","RZOOAT2L363","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Au eGen","Lisse 94","Au","RVVGAT2B405","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Bad Radkersburg-Kloech eGen","Halbenrainer Strasse 2","Bad Radkersburg","RZSTAT2G312","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Bad Wimsbach-Neydharting eGen","Markt 23","Bad Wimsbach Neydharting","RZOOAT2L750","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Bezau-Mellau-Bizau eGen","Platz 398","Bezau","RVVGAT2B406","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Bleiburg reg.Gen.m.b.H.","10. Oktober-Platz 13","Bleiburg","RZKTAT2K272","2017-11-21","",""
"AUSTRIA","RAIFFEISENBANK BLUDENZ-MONTAFON EGEN","Werdenbergerstrasse 9","Bludenz","RVVGAT2B468","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Bodensee-Leiblachtal eGen","Seestr. 1","Hard","RVVGAT2B431","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Brixen im Thale reg.Gen.m.b.H.","Dorfstrasse 92","Brixen im Thale","RZTIAT22215","2017-11-21","",""
"AUSTRIA","RAIFFEISENBANK BRUCK-CARNUNTUM eGen","1, FRIEDRICH WILHELM RAIFFEISENPLATZ","BRUCK AN DER LEITHA","RLNWATWWBRL","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Brueckl-Eberstein-Klein St.Paul-Waisenberg reg.Gen.m.b.H.","Huettenbergerstrasse 1","Brueckl","RZKTAT2K271","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Burgenland Mitte eGen","Hauptstrasse 34","Oberpullendorf","RLBBAT2E065","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Donau-Ameisberg eGen","Marktplatz 10","Sarleinsbach","RZOOAT2L075","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Drassmarkt-Kobersdorf-St. Martin eGen","Hauptstrasse 29","Drassmarkt","RLBBAT2E014","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Drautal reg.Gen.m.b.H.","Villacher Strasse 74","Feistritz an der Drau","RZKTAT2K442","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Dreilaendereck Bgld-Nord eGen","Untere Hauptstrasse 36","Nickelsdorf","RLBBAT2E038","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Eberndorf reg.Gen.m.b.H.","Bahnstrasse 22","Eberndorf","RZKTAT2K288","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Eberschwang eGen","Eberschwang 116","Eberschwang","RZOOAT2L081","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Edt-Lambach eGen","Marktplatz 14","Lambach","RZOOAT2L083","2017-11-21","",""
"AUSTRIA","RAIFFEISENBANK EGGENBURG eGen","Hauptplatz 24-26","EGGENBURG","RLNWATWW123","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Ehrwald-Lermoos-Biberwier reg.Gen.m.b.H.","Kirchplatz 31","Ehrwald","RZTIAT22219","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Ennstal eGen","Kirchenplatz 11","Ternberg","RZOOAT2L080","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Erl reg.Gen.m.b.H.","Dorf 44","Erl","RZTIAT22223","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Faistenau-Hintersee eGen","Am Lindenplatz 2","Faistenau","RVSAAT2S016","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Feldkirchen-Goldwoerth eGen","Hauptstrasse 2","Feldkirchen a.d. Donau","RZOOAT2L100","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Flachgau Mitte eGen","Dorf 1","Eugendorf","RVSAAT2S015","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Flachgau Nord eGen","Hauptstrasse 3","Lamprechtshausen","RVSAAT2S030","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Frauenkirchen-Mönchhof-Podersdorf am See eGen","Amtshausgasse 2","Frauenkirchen","RLBBAT2E116","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Friesach-Metnitztal reg.Gen.m.b.H.","Hauptplatz 13","Friesach/Ktn.","RZKTAT2K501","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Fuschlsee West eGen","Wolfgangseestr. 26","Hof","RVSAAT2S065","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Gamlitz eGen","Obere Hauptstrasse 210","Gamlitz","RZSTAT2G094","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Gampern eGen","Gampern 70","Gampern","RZOOAT2L113","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Gastein eGen","Kaiser-Franz-Platz 4","Bad Hofgastein","RVSAAT2S026","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Geretsberg eGen","Geretsberg 3","Geretsberg","RZOOAT2L118","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Gleinstaetten-Leutschach - Groß St.Florian eGen","Gleinstaetten 168","Gleinstaetten","RZSTAT2G102","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Golling-Scheffau-Kellau eGen","Markt 45","Golling","RVSAAT2S017","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Grafenstein-Magdalensberg und Umgebung","Klopeiner Strasse 3","Grafenstein","RZKTAT2K320","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Gramastetten eGen","Marktstrasse 41","Gramastetten","RZOOAT2L135","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Gratkorn eGen","Grazer Strasse 5","Gratkorn","RZSTAT2G111","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Gratwein-Hitzendorf eGen","Bahnhofstrasse 22","Gratwein-Strassengel","RZSTAT2G138","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Graz-Nord eGen","Grazer Strasse 62","Graz-Andritz","RZSTAT2G377","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Graz-St.Peter eGen","St. Peter-Hauptstrasse 55","Graz-St.Peter","RZSTAT2G367","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Graz-Strassgang eGen","Kaerntner Strasse 394","Graz-Strassgang","RZSTAT2G439","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Grein eGen","Hauptstrasse 25","Grein","RZOOAT2L068","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Groedig eGen","Hauptstrasse 28","Groedig","RVSAAT2S018","2017-11-21","",""
"AUSTRIA","RAIFFEISENBANK GROSS GERUNGS eGen","47, HAUPTPLATZ","GROSSGERUNGS","RLNWATW1589","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Grossarl-Huettschlag eGen","Marktstrasse 8","Grossarl","RVSAAT2S019","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Grossgmain eGen","Salzburger Str. 53","Grossgmain","RVSAAT2S020","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Gruenau-St. Konrad-Scharnstein eGen","Im Dorf 15","Gruenau im Almtal","RZOOAT2L127","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Gunskirchen eGen","Raiffeisenplatz 1","Gunskirchen","RZOOAT2L129","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Halbenrain-Tieschen eGen","Halbenrain 125","Halbenrain","RZSTAT2G128","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Hallein-Oberalm eGen","Robertplatz 1","Hallein","RVSAAT2S022","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Handenberg-St. Georgen a. F. eGen","Baumgartnerstrasse 1","Handenberg","RZOOAT2L155","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Hausmannstaetten eGen","Grazer Strasse 6","Hausmannstaetten","RZSTAT2G133","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Heideboden eGen","Wiener Strasse 3","St.Andrae/Zicksee","RLBBAT2E090","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Heiligenkreuz-Kirchbach-St. Georgen eGen","Kirchbach 12","Kirchbach","RZSTAT2G170","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Hermagor reg.Gen.m.b.H.","Gasserplatz 4","Hermagor","RZKTAT2K543","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Hinterstoder-Vorderstoder eGen","Hinterstoder 19","Hinterstoder","RZOOAT2L165","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Hippach und Umgebung reg.Gen.m.b.H.","Lindenstrasse 11","Hippach","RZTIAT22241","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Hohe Tauern eGen","Ing. Wilhelm-Fazokas-Str. 2c","Kaprun","RVSAAT2S012","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Hohenems","Schillerallee 1","Hohenems","RANMAT21XXX","2017-11-21","",""
"AUSTRIA","RAIFFEISENBANK HOLLABRUNN eGen","7, RAIFFEISENPLATZ 1","HOLLABRUNN","RLNWATW1322","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Hopfgarten im Brixental reg.Gen.m.b.H.","Brixentaler Strasse 15","Hopfgarten","RZTIAT22245","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Huettau-St.Martin-Niedernfritz eGen","Huettau 35","Huettau","RVSAAT2S027","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Ilz-Grossteinbach-Riegersburg eGen","Ilz 39","Ilz","RZSTAT2G151","2017-11-21","",""
"AUSTRIA","RAIFFEISENBANK IM RHEINTAL EGEN","Rathausplatz 8","Dornbirn","RVVGAT2B420","2017-11-21","",""
"AUSTRIA","Raiffeisenbank im Walgau eGen","Bahnhofstr. 2","Nenzing","RVVGAT2B458","2017-11-21","",""
"AUSTRIA","RAIFFEISENBANK IM WEINVIERTEL eGen","HAUPTPLATZ 37","MISTELBACH/ZAYA","RLNWATWWMIB","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Inneres Salzkammergut eGen","Kreuzplatz 20","Bad Ischl","RZOOAT2L545","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Innkreis Mitte eGen","Ort im Innkreis 7","Ort im Innkreis","RZOOAT2L200","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Kematen an der Krems eGen","Linzerstrasse 27","Kematen an der Krems","RZOOAT2L214","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Kematen eGen","Sandbichlweg 2","Kematen","RZTIAT22260","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Kirchdorf Tirol reg.Gen.m.b.H.","Dorfplatz 15","Kirchdorf i.T.","RZTIAT22262","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Kitzbuehel - St. Johann eGen","Vorderstadt 3 a","Kitzbuehel","RZTIAT22263","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Kleinmuenchen/Linz eGen","Salzburger Strasse 5","Linz","RZOOAT2L226","2017-11-21","",""
"AUSTRIA","RAIFFEISENBANK KLOSTERNEUBURG eGen","7, RATHAUSPLATZ","KLOSTERNEUBURG","RLNWATWW367","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Koessen-Schwendt reg.Gen.m.b.H.","Dorf 4","Koessen","RZTIAT22264","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Koetschach-Mauthen reg.Gen.m.b.H.","Koetschach 7a","Koetschach-Mauthen","RZKTAT2K364","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Kollerschlag eGen","Markt 4","Kollerschlag","RZOOAT2L231","2017-11-21","",""
"AUSTRIA","RAIFFEISENBANK KORNEUBURG eGen","11, HAUPTPLATZ","KORNEUBURG","RLNWATWWKOR","2017-11-21","",""
"AUSTRIA","RAIFFEISENBANK KREMS eGen","8, DREIFALTIGKEITSPLATZ","KREMS (DONAU)","RLNWATWWKRE","2017-11-21","",""
"AUSTRIA","RAIFFEISENBANK KREUZENSTEIN eGen","STOCKERAUER STRASSE 8-10","Korneuburg","RLNWATW1438","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Kundl-Münster eGen","Dorfstrasse 14","Kundl","RZTIAT22267","2017-11-21","",""
"AUSTRIA","RAIFFEISENBANK LAA A.D. THAYA eGen","56, STADTPLATZ","LAA AN DER THAYA","RLNWATWWLAA","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Laengenfeld reg.Gen.m.b.H.","Oberlaengenfeld 72","Laengenfeld","RZTIAT22268","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Landskron-Gegendtal reg.Gen.m.b.H.","Ossiacher Strasse 26","Landskron","RZKTAT2K381","2017-11-21","",""
"AUSTRIA","RAIFFEISENBANK LANGENLOIS eGen","9, KORNPLATZ","LANGENLOIS","RLNWATWW426","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Lech am Arlberg eGen","Dorf 90","Lech","RVVGAT2B449","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Leibnitz eGen","Bahnhofstrasse 2","Leibnitz","RZSTAT2G206","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Leoben-Bruck eGen","Grazer Strasse 63","Kapfenberg","RZSTAT2G460","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Leonding eGen","Stadtplatz 4","Leonding","RZOOAT2L276","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Lieboch-Stainz eGen","Grazer Strasse 7","Stainz","RZSTAT2G210","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Lieser-Maltatal eG","Rennweg 6","Rennweg","RZKTAT2K464","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Liesingtal-St. Stefan eGen","Hauptstrasse 18","Mautern","RZSTAT2G227","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Liezen-Rottenmann-Trieben eGen","Hauptplatz 11","Liezen","RZSTAT2G215","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Lipizzanerheimat eGen","C.-v.-Hoetzendorfstrasse 5","Voitsberg","RZSTAT2G487","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Lochen eGen","Ringstrasse 5","Lochen","RZOOAT2L290","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Lungau eGen","Kirchengasse 9","Tamsweg","RVSAAT2S063","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Lutzmannsburg-Frankenau eGen","Hauptstrasse 25","Lutzmannsburg","RLBBAT2E048","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Maria Schmolln und St. Johann am Walde eGen","Maria Schmolln 68","Maria Schmolln","RZOOAT2L312","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Mariazellerland eGen","Hauptplatz 1","Mariazell","RZSTAT2G129","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Matrei am Brenner und Umgebung reg.Gen.m.b.H.","Brennerstrasse 43 a","Matrei a.Br.","RZTIAT22273","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Mattigtal eGen","Hauptstrasse 61","Schalchen","RZOOAT2L303","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Mayrhofen und Umgebung reg.Gen.m.b.H.","Hauptstrasse 401","Mayrhofen","RZTIAT22274","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Meggenhofen-Kematen eGen","Meggenhofen 55","Meggenhofen","RZOOAT2L313","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Millstaettersee eG.","Hauptstrasse 82","Seeboden","RZKTAT2K479","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Mittelbregenzerwald eGen","Loco 910","Egg","RVVGAT2B423","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Mittelkärnten","Hauptplatz 5","Strassburg","RZKTAT2K511","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Mittleres Lavanttal eGen","St.Andrae 76","St.Andrae/L.","RZKTAT2K481","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Mittleres Mostviertel eGen","SCHEIBBSER STRASSE 4","WIESELBURG/ERL.","RLNWATWW939","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Mittleres Raabtal eGen","Paldau 40","Paldau","RZSTAT2G075","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Mittleres Rodltal eGen","Marktplatz 44","Oberneukirchen","RZOOAT2L383","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Mondseeland eGen","Rainerstrasse 11","Mondsee","RZOOAT2L322","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Montfort eGen","Bahnhofstrasse 2","Rankweil","RVVGAT2B422","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Moosburg-Tigring reg.Gen.m.b.H.","Klagenfurter Strasse 5","Moosburg","RZKTAT2K411","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Muehlviertler Alm eGen","Schulstrasse 2","Koenigswiesen","RZOOAT2L330","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Muerztal eGen","Grazer Strasse 19","Muerzzuschlag","RZSTAT2G186","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Murau eGen","Bundesstrasse 5","Murau","RZSTAT2G238","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Mureck eGen","Hauptplatz 8","Mureck","RZSTAT2G370","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Nestelbach-Eggersdorf eGen","Schemerlhoehe 71","Nestelbach","RZSTAT2G252","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Neukirchen an der Voeckla eGen","Neukirchen an der Voeckla 70","Neukirchen an der Voeckla","RZOOAT2L356","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Neumarkt-Oberwoelz eGen","Hauptplatz 47","Neumarkt/Stmk.","RZSTAT2G402","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Neusiedlersee-Huegelland eGen","Hauptstrasse 39","Donnerskirchen","RLBBAT2E012","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Neusiedlersee-Seewinkel eGen","Hauptplatz 4","Illmitz","RLBBAT2E033","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Neustift-Mieders-Schoenberg im Stubaital reg.Gen.m.b.H.","Dorf 2","Neustift","RZTIAT22285","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Nockberge eGen","Hauptstrasse 41","Radenthein","RZKTAT2K457","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Oberdrautal-Weissensee registrierte Genossenschaft mit beschraenkter Haftung","120, GREIFENBURG","GREIFENBURG","RZKTAT2K322","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Oberes Innviertel eGen","Siedlungsstrasse 1","Eggelsberg","RZOOAT2L370","2017-11-21","",""
"AUSTRIA","Raiffeisenbank Oberes Lavanttal reg.Gen.m.b.H.","Hauptplatz 18","Bad St.Leonhard","RZKTAT2K491","2017-11-21","",""
